Gün,Saat,Sicaklik
1,00:00,18.2
1,01:00,17.8
1,02:00,17.4
1,03:00,17.1
1,04:00,16.9
1,05:00,17
1,06:00,18.3
1,07:00,20.5
1,08:00,23.3
1,09:00,25.7
1,10:00,27.8
1,11:00,29.5
1,12:00,30.7
1,13:00,31.3
1,14:00,32.7
1,15:00,33.5
1,16:00,33
1,17:00,31.2
1,18:00,28.7
1,19:00,26.2
1,20:00,23.9
1,21:00,22.2
1,22:00,20.6
1,23:00,18.9
2,00:00,18.1
2,01:00,17.7
2,02:00,17.3
2,03:00,17
2,04:00,16.8
2,05:00,16.9
2,06:00,18
2,07:00,20.2
2,08:00,23.1
2,09:00,25.4
2,10:00,27.6
2,11:00,29.3
2,12:00,30.5
2,13:00,31.1
2,14:00,32.6
2,15:00,33.4
2,16:00,32.9
2,17:00,31
2,18:00,28.5
2,19:00,26
2,20:00,23.8
2,21:00,22
2,22:00,20.3
2,23:00,18.8
3,00:00,18.4
3,01:00,17.9
3,02:00,17.5
3,03:00,17.2
3,04:00,16.9
3,05:00,17.1
3,06:00,18.5
3,07:00,20.7
3,08:00,23.4
3,09:00,25.6
3,10:00,27.9
3,11:00,29.6
3,12:00,30.8
3,13:00,31.4
3,14:00,32.9
3,15:00,33.6
3,16:00,33.1
3,17:00,31.3
3,18:00,28.9
3,19:00,26.1
3,20:00,24
3,21:00,22.3
3,22:00,20.7
3,23:00,19
4,00:00,18.3
4,01:00,17.8
4,02:00,17.4
4,03:00,17.1
4,04:00,16.9
4,05:00,17
4,06:00,18.4
4,07:00,20.6
4,08:00,23.3
4,09:00,25.5
4,10:00,27.7
4,11:00,29.4
4,12:00,30.6
4,13:00,31.2
4,14:00,32.8
4,15:00,33.5
4,16:00,33
4,17:00,31.1
4,18:00,28.8
4,19:00,26.3
4,20:00,24.1
4,21:00,22.4
4,22:00,20.8
4,23:00,19.1
5,00:00,18.3
5,01:00,17.8
5,02:00,17.5
5,03:00,17.1
5,04:00,16.9
5,05:00,17
5,06:00,18.4
5,07:00,20.7
5,08:00,23.5
5,09:00,25.7
5,10:00,27.9
5,11:00,29.6
5,12:00,30.8
5,13:00,31.4
5,14:00,32.9
5,15:00,33.7
5,16:00,33.2
5,17:00,31.3
5,18:00,28.9
5,19:00,26.2
5,20:00,24
5,21:00,22.3
5,22:00,20.8
5,23:00,19.1
6,00:00,18.4
6,01:00,17.9
6,02:00,17.5
6,03:00,17.2
6,04:00,16.9
6,05:00,17.1
6,06:00,18.5
6,07:00,20.8
6,08:00,23.5
6,09:00,25.8
6,10:00,28
6,11:00,29.7
6,12:00,30.9
6,13:00,31.5
6,14:00,33
6,15:00,33.7
6,16:00,33.2
6,17:00,31.4
6,18:00,29
6,19:00,26.3
6,20:00,24.1
6,21:00,22.5
6,22:00,20.9
6,23:00,19.2
7,00:00,18.5
7,01:00,18
7,02:00,17.6
7,03:00,17.3
7,04:00,17
7,05:00,17.2
7,06:00,18.6
7,07:00,20.9
7,08:00,23.6
7,09:00,25.9
7,10:00,28.1
7,11:00,29.8
7,12:00,31
7,13:00,31.6
7,14:00,33.1
7,15:00,33.8
7,16:00,33.3
7,17:00,31.5
7,18:00,29.1
