id,month,day,year,temp,AverageTemperatureUncertaintyFahr,City,country_id,Country,Latitude,Longitude
1,1,1,1853,137.38212367375,NA,Auckland,NEW,New Zealand,36.17S,175.03E
2,2,1,1853,36.3572706934704,NA,Auckland,NEW,New Zealand,36.17S,175.03E
3,3,1,1853,129.399603081171,NA,Auckland,NEW,New Zealand,36.17S,175.03E
4,4,1,1853,35.5226764005218,NA,Auckland,NEW,New Zealand,36.17S,175.03E
5,5,1,1853,75.7471768537046,NA,Auckland,NEW,New Zealand,36.17S,175.03E
6,6,1,1853,71.361337621034,36.9572,Auckland,NEW,New Zealand,36.17S,175.03E
7,7,1,1853,84.1772951049012,34.5488,Auckland,NEW,New Zealand,36.17S,175.03E
8,8,1,1853,48.975781206441,33.5498,Auckland,NEW,New Zealand,36.17S,175.03E
9,9,1,1853,50.409250488804,33.638,Auckland,NEW,New Zealand,36.17S,175.03E
10,10,1,1853,116.637637730781,33.9836,Auckland,NEW,New Zealand,36.17S,175.03E
11,11,1,1853,132.903446183823,34.2518,Auckland,NEW,New Zealand,36.17S,175.03E
12,12,1,1853,40.7681741978724,37.5062,Auckland,NEW,New Zealand,36.17S,175.03E
13,1,1,1854,74.5561859660364,36.23,Auckland,NEW,New Zealand,36.17S,175.03E
14,2,1,1854,200,35.6576,Auckland,NEW,New Zealand,36.17S,175.03E
15,3,1,1854,128.14128348431,35.3966,Auckland,NEW,New Zealand,36.17S,175.03E
16,4,1,1854,149.074645039794,35.2022,Auckland,NEW,New Zealand,36.17S,175.03E
17,5,1,1854,88.7498694289906,34.511,Auckland,NEW,New Zealand,36.17S,175.03E
18,6,1,1854,53.1298507530014,34.7972,Auckland,NEW,New Zealand,36.17S,175.03E
19,7,1,1854,61.9064864114724,35.024,Auckland,NEW,New Zealand,36.17S,175.03E
20,8,1,1854,119.927397992047,34.3544,Auckland,NEW,New Zealand,36.17S,175.03E
21,9,1,1854,65.2657479277782,33.683,Auckland,NEW,New Zealand,36.17S,175.03E
22,10,1,1854,117.032203652121,37.4108,Auckland,NEW,New Zealand,36.17S,175.03E
23,11,1,1854,43.7390406612294,35.0024,Auckland,NEW,New Zealand,36.17S,175.03E
24,12,1,1854,108.221239621328,35.924,Auckland,NEW,New Zealand,36.17S,175.03E
25,1,1,1855,64.6782535478805,36.0716,Auckland,NEW,New Zealand,36.17S,175.03E
26,2,1,1855,35.6329159272172,37.13,Auckland,NEW,New Zealand,36.17S,175.03E
27,3,1,1855,107.538516016547,34.3058,Auckland,NEW,New Zealand,36.17S,175.03E
28,4,1,1855,80.3180841267672,34.7594,Auckland,NEW,New Zealand,36.17S,175.03E
29,5,1,1855,79.9320853313284,34.1996,Auckland,NEW,New Zealand,36.17S,175.03E
30,6,1,1855,73.1640403289767,33.7568,Auckland,NEW,New Zealand,36.17S,175.03E
31,7,1,1855,104.920759103527,33.5048,Auckland,NEW,New Zealand,36.17S,175.03E
32,8,1,1855,145.945275445257,34.8422,Auckland,NEW,New Zealand,36.17S,175.03E
33,9,1,1855,117.332490463702,34.1042,Auckland,NEW,New Zealand,36.17S,175.03E
34,10,1,1855,114.823954184197,34.2302,Auckland,NEW,New Zealand,36.17S,175.03E
35,11,1,1855,85.1988174864324,33.7622,Auckland,NEW,New Zealand,36.17S,175.03E
36,12,1,1855,113.096823248672,35.7026,Auckland,NEW,New Zealand,36.17S,175.03E
37,1,1,1856,122.182707878803,37.9166,Auckland,NEW,New Zealand,36.17S,175.03E
38,2,1,1856,70.4282112225954,37.8878,Auckland,NEW,New Zealand,36.17S,175.03E
39,3,1,1856,136.770678939209,35.9114,Auckland,NEW,New Zealand,36.17S,175.03E
40,4,1,1856,141.539379212472,36.2966,Auckland,NEW,New Zealand,36.17S,175.03E
41,5,1,1856,67.506549006099,36.2642,NA,,NA,36.17S,175.03E
42,6,1,1856,143.786037592282,35.5856,Auckland,NEW,New Zealand,36.17S,175.03E
43,7,1,1856,35.4352298456871,36.6656,Auckland,NEW,New Zealand,36.17S,175.03E
44,8,1,1856,114.070168044202,36.3308,Auckland,NEW,New Zealand,36.17S,175.03E
45,9,1,1856,100.092834090394,34.8008,Auckland,NEW,New Zealand,36.17S,175.03E
46,10,1,1856,91.4574175343731,37.8698,Auckland,NEW,New Zealand,36.17S,175.03E
47,11,1,1856,123.249391492522,37.6772,Auckland,NEW,New Zealand,36.17S,175.03E
48,12,1,1856,85.721023404068,34.6208,Auckland,NEW,New Zealand,36.17S,175.03E
49,1,1,1857,72.9288228460373,35.9654,Auckland,NEW,New Zealand,36.17S,175.03E
50,2,1,1857,100.034392828104,37.9544,Auckland,NEW,New Zealand,36.17S,175.03E
51,3,1,1857,42.8649105833682,36.2156,Auckland,NEW,New Zealand,36.17S,175.03E
52,4,1,1857,147.196634703266,35.744,Auckland,NEW,New Zealand,36.17S,175.03E
53,5,1,1857,62.074121016273,37.3208,Auckland,NEW,New Zealand,36.17S,175.03E
54,6,1,1857,144.45683069871,34.2572,Auckland,NEW,New Zealand,36.17S,175.03E
55,7,1,1857,134.753499025535,33.5102,Auckland,NEW,New Zealand,36.17S,175.03E
56,8,1,1857,147.844760384748,33.5246,Auckland,NEW,New Zealand,36.17S,175.03E
57,9,1,1857,119.594016714392,33.7424,Auckland,NEW,New Zealand,36.17S,175.03E
58,10,1,1857,117.964296810331,34.826,Auckland,NEW,New Zealand,36.17S,175.03E
59,11,1,1857,93.3099025717561,36.635,Auckland,NEW,New Zealand,36.17S,175.03E
60,12,1,1857,100.554791532232,38.6168,Auckland,NEW,New Zealand,36.17S,175.03E
61,1,1,1858,46.0744035571171,40.5032,Auckland,NEW,New Zealand,36.17S,175.03E
62,2,1,1858,96.3987030176599,35.8844,Auckland,NEW,New Zealand,36.17S,175.03E
63,3,1,1858,113.485196636295,36.8564,Auckland,NEW,New Zealand,36.17S,175.03E
64,4,1,1858,66.5437575338984,39.1532,Auckland,NEW,New Zealand,36.17S,175.03E
65,5,1,1858,126.650598496719,39.0002,Auckland,NEW,New Zealand,36.17S,175.03E
66,6,1,1858,72.2139095521529,34.5164,Auckland,NEW,New Zealand,36.17S,175.03E
67,7,1,1858,84.3216089430275,35.753,Auckland,NEW,New Zealand,36.17S,175.03E
68,8,1,1858,46.9008042417671,33.9206,Auckland,NEW,New Zealand,36.17S,175.03E
69,9,1,1858,47.8711702272133,33.6758,Auckland,NEW,New Zealand,36.17S,175.03E
70,10,1,1858,145.222130543349,35.2004,Auckland,NEW,New Zealand,36.17S,175.03E
71,11,1,1858,112.163325549778,36.608,Auckland,NEW,New Zealand,36.17S,175.03E
72,12,1,1858,107.313099443245,34.5866,Auckland,NEW,New Zealand,36.17S,175.03E
73,1,1,1859,121.759429079487,34.0592,Auckland,NEW,New Zealand,36.17S,175.03E
74,2,1,1859,46.3423777909287,33.8522,Auckland,NEW,New Zealand,36.17S,175.03E
75,3,1,1859,96.0122180887617,35.7314,Auckland,NEW,New Zealand,36.17S,175.03E
76,4,1,1859,127.342939718868,34.7756,Auckland,NEW,New Zealand,36.17S,175.03E
77,5,1,1859,42.8671747949352,34.8746,Auckland,NEW,New Zealand,36.17S,175.03E
78,6,1,1859,114.251859552354,34.5668,NA,,NA,36.17S,175.03E
79,7,1,1859,97.5755623639599,33.2924,Auckland,NEW,New Zealand,36.17S,175.03E
80,8,1,1859,49.298778085317,34.349,Auckland,NEW,New Zealand,36.17S,175.03E
81,9,1,1859,133.186314721644,33.5084,Auckland,NEW,New Zealand,36.17S,175.03E
